OAREA,DAREA,F
六合区,静安区,1.12577022032753e-13
溧水区,静安区,1.0529548380881413e-13
高淳区,静安区,3.580389751030496e-13
锡山区,静安区,1.1897791199972877e-12
惠山区,静安区,1.0926145803681784e-12
滨湖区,静安区,1.0139235269007944e-12
梁溪区,静安区,2.171091449660828e-12
新吴区,静安区,2.094031375428936e-12
江阴市,静安区,1.0641621089188496e-12
宜兴市,静安区,1.6946923671306349e-12
天宁区,静安区,9.457056961715769e-13
钟楼区,静安区,8.671788199861522e-13
新北区,静安区,7.602505536674128e-13
武进区,静安区,4.615761515936301e-13
金坛区,静安区,3.2146995813021765e-13
溧阳市,静安区,8.921770734304247e-13
虎丘区,静安区,9.695800711994816e-13
吴中区,静安区,1.1972465832830777e-12
相城区,静安区,1.2933680024146428e-12
姑苏区,静安区,4.18937040892969e-12
吴江区,静安区,1.6373475553117097e-12
常熟市,静安区,2.7323377805993358e-12
张家港市,静安区,1.175425146122562e-12
昆山市,静安区,1.686673019630571e-11
太仓市,静安区,1.3700940652305676e-11
崇川区,静安区,3.6454261934885e-12
港闸区,静安区,2.433620323327037e-13
通州区,静安区,1.2223127007944957e-12
如东县,静安区,8.983860978590966e-13
启东市,静安区,1.5769061138123486e-11
如皋市,静安区,1.1734035135543126e-12
海门市,静安区,3.0615515843090887e-12
海安市,静安区,1.5597926346964216e-12
广陵区,静安区,1.311645772305542e-13
邗江区,静安区,1.9291353733164318e-13
江都区,静安区,2.4998376090608537e-13
宝应县,静安区,9.83193297366819e-14
仪征市,静安区,2.9150916933873617e-13
高邮市,静安区,2.2240075595040552e-13
京口区,静安区,2.6856651753184583e-13
润州区,静安区,2.319620896116545e-12
丹徒区,静安区,8.486046616804008e-13
丹阳市,静安区,1.3056727996390926e-12
扬中市,静安区,1.7543439939436238e-13
句容市,静安区,1.1936485707239866e-12
海陵区,静安区,4.907921607372123e-13
高港区,静安区,1.293216900961022e-13
姜堰区,静安区,2.2057139127603285e-13
兴化市,静安区,6.451859053112103e-13
靖江市,静安区,1.0984542958358755e-12
泰兴市,静安区,5.501995474932617e-13
黄浦区,普陀区,1.0744770245242719e-10
徐汇区,普陀区,1.0051452398020125e-10
长宁区,普陀区,2.5912455843006846e-10
静安区,普陀区,2.9807752433451656e-10
虹口区,普陀区,8.883417459870552e-11
杨浦区,普陀区,7.475302836053077e-11
闵行区,普陀区,7.582259601381559e-11
宝山区,普陀区,2.7249361840023135e-10
嘉定区,普陀区,3.2650493168282606e-10
浦东新区,普陀区,7.520488622253865e-11
金山区,普陀区,2.086788490863719e-11
松江区,普陀区,4.3000458694807616e-11
青浦区,普陀区,5.5319752905710505e-11
奉贤区,普陀区,2.173989329659161e-11
崇明区,普陀区,5.0936184671857356e-11
玄武区,普陀区,2.1792071978771164e-12
秦淮区,普陀区,3.528079159565591e-13
建邺区,普陀区,2.4278927274067455e-13
鼓楼区,普陀区,2.1294459925677653e-12
浦口区,普陀区,8.659630811842076e-13
栖霞区,普陀区,1.1498214891430696e-12
雨花台区,普陀区,3.016689628337304e-12
江宁区,普陀区,8.923054992371317e-13
六合区,普陀区,3.1239078430136623e-13
溧水区,普陀区,2.6562290160014186e-13
高淳区,普陀区,3.0106815605214025e-13
锡山区,普陀区,2.7012490338302567e-12
惠山区,普陀区,2.8609451055102146e-12
滨湖区,普陀区,1.985634874576012e-12
梁溪区,普陀区,3.7145232992355854e-12
新吴区,普陀区,4.09134286649748e-12
江阴市,普陀区,1.892088024521522e-12
宜兴市,普陀区,3.0486394658824642e-12
天宁区,普陀区,2.47643721166452e-12
钟楼区,普陀区,1.4666746094257385e-12
新北区,普陀区,1.5801926396185037e-12
武进区,普陀区,8.20800768826197e-13
金坛区,普陀区,7.028267117586143e-13
溧阳市,普陀区,1.4170722326064952e-12
虎丘区,普陀区,1.8723072391954837e-12
吴中区,普陀区,1.8593905648596528e-12
相城区,普陀区,2.039190981958091e-12
姑苏区,普陀区,7.983572448754177e-12
