OAREA,DAREA,F
如皋市,普陀区,1.447911326154161e-12
海门市,普陀区,3.1454709968568386e-12
海安市,普陀区,2.904188825442152e-12
广陵区,普陀区,2.591329877092443e-13
邗江区,普陀区,1.297715420058921e-13
江都区,普陀区,5.090228925095133e-13
宝应县,普陀区,2.9737940535280787e-12
仪征市,普陀区,4.168173822412054e-13
高邮市,普陀区,1.371821023409511e-12
京口区,普陀区,2.649905844778501e-13
润州区,普陀区,1.830593871196457e-12
丹徒区,普陀区,1.5596351556453365e-12
丹阳市,普陀区,1.900094214794896e-12
扬中市,普陀区,4.701739522009787e-13
句容市,普陀区,1.4854724934211104e-12
海陵区,普陀区,5.387028135116437e-13
高港区,普陀区,6.694424881628523e-13
姜堰区,普陀区,8.073223800266672e-13
兴化市,普陀区,8.739187093961018e-13
靖江市,普陀区,2.085817145347544e-12
泰兴市,普陀区,2.307483188192718e-12
黄浦区,虹口区,1.190877376843361e-10
徐汇区,虹口区,5.184849386050051e-11
长宁区,虹口区,5.1939180689143176e-11
静安区,虹口区,2.9264057739454964e-10
普陀区,虹口区,7.588948975103063e-11
杨浦区,虹口区,6.288310169255872e-10
闵行区,虹口区,3.3999050213811196e-11
宝山区,虹口区,1.7007031609453262e-10
嘉定区,虹口区,3.497480441854559e-11
浦东新区,虹口区,1.2822568744982946e-10
金山区,虹口区,8.773915090843775e-12
松江区,虹口区,2.3488618187599924e-11
青浦区,虹口区,1.7216552799322604e-11
奉贤区,虹口区,1.287816804011954e-11
崇明区,虹口区,6.003045159150907e-11
玄武区,虹口区,2.54474952637855e-13
秦淮区,虹口区,6.758646365805183e-14
建邺区,虹口区,4.1584008924823135e-14
鼓楼区,虹口区,4.0757295133933863e-13
浦口区,虹口区,1.1139312247645816e-13
栖霞区,虹口区,6.77158948313893e-14
雨花台区,虹口区,4.251223416604733e-13
江宁区,虹口区,1.993187364984525e-13
六合区,虹口区,4.361337134452682e-14
溧水区,虹口区,9.912437847498118e-14
锡山区,虹口区,4.700787139184113e-13
惠山区,虹口区,5.013408833008332e-13
滨湖区,虹口区,3.3718881632905093e-13
梁溪区,虹口区,5.176801174010298e-13
新吴区,虹口区,7.58174071071075e-13
江阴市,虹口区,4.818062510896088e-13
宜兴市,虹口区,2.976485870354803e-13
天宁区,虹口区,4.1470882378500374e-13
钟楼区,虹口区,2.2253004583889526e-13
新北区,虹口区,2.0601683288318265e-13
武进区,虹口区,1.9130345505409757e-13
金坛区,虹口区,4.2368012557740505e-14
溧阳市,虹口区,1.4647641044529949e-13
虎丘区,虹口区,2.930423522158991e-13
吴中区,虹口区,2.7867363386833985e-13
相城区,虹口区,4.28987037261125e-13
姑苏区,虹口区,1.181053105635969e-12
吴江区,虹口区,1.1065508338220967e-12
常熟市,虹口区,9.486968196455054e-13
张家港市,虹口区,2.132205745132219e-13
昆山市,虹口区,8.572847579464354e-12
太仓市,虹口区,6.857256465501901e-12
崇川区,虹口区,5.991891601497316e-13
港闸区,虹口区,1.5141097314144728e-13
通州区,虹口区,3.583586442046283e-13
如东县,虹口区,4.736151366260125e-13
启东市,虹口区,1.6251136113140968e-11
如皋市,虹口区,6.16887089097697e-13
海门市,虹口区,1.2195252395352428e-12
海安市,虹口区,8.753960248722249e-13
广陵区,虹口区,7.553985889754049e-14
邗江区,虹口区,5.989702980803376e-14
江都区,虹口区,3.383184079333093e-13
