OAREA,DAREA,F0
浦东新区,静安区,1.5140369721396265e-07
金山区,静安区,1.848663752337311e-08
松江区,静安区,4.7647076279298196e-08
青浦区,静安区,4.01261724903657e-08
奉贤区,静安区,2.375849250622646e-08
崇明区,静安区,5.7157956202075804e-08
玄武区,静安区,8.958987087556556e-10
秦淮区,静安区,2.4168460881303904e-10
建邺区,静安区,6.261119779201907e-11
鼓楼区,静安区,9.665216112150301e-10
浦口区,静安区,3.773692883355407e-10
栖霞区,静安区,6.404162714145045e-10
雨花台区,静安区,1.3361833945273916e-09
江宁区,静安区,4.76637957778808e-10
六合区,静安区,1.723751367859843e-10
溧水区,静安区,5.596769251427819e-11
高淳区,静安区,1.4825905340992652e-10
锡山区,静安区,7.822794766481818e-10
惠山区,静安区,9.058160773961267e-10
滨湖区,静安区,6.85381830532792e-10
梁溪区,静安区,1.70878982691928e-09
新吴区,静安区,1.7317818281345986e-09
江阴市,静安区,1.0201419870407964e-09
宜兴市,静安区,7.394578543879529e-10
天宁区,静安区,8.474117822924105e-10
钟楼区,静安区,7.748114957112382e-10
新北区,静安区,7.211926973402014e-10
武进区,静安区,4.1543816404082164e-10
金坛区,静安区,2.8706236779536866e-10
溧阳市,静安区,2.4811091357713403e-10
虎丘区,静安区,1.0732399587412085e-09
吴中区,静安区,7.605005856814773e-10
相城区,静安区,1.036983109626112e-09
姑苏区,静安区,3.896421249725183e-09
吴江区,静安区,1.9879417445996982e-09
常熟市,静安区,2.612946443013866e-09
张家港市,静安区,1.3644062372705983e-09
昆山市,静安区,1.8344899213018308e-08
太仓市,静安区,1.23720014262451e-08
崇川区,静安区,1.9388034908083982e-09
港闸区,静安区,2.137244873168866e-10
通州区,静安区,7.782183399376092e-10
如东县,静安区,1.3370649453041906e-09
启东市,静安区,1.3270684696754576e-08
如皋市,静安区,1.3932292923223632e-09
海门市,静安区,2.0329191752283513e-09
海安市,静安区,1.7917173766421726e-09
广陵区,静安区,8.53027612458946e-11
邗江区,静安区,7.891126343396582e-11
江都区,静安区,4.032678914784976e-10
宝应县,静安区,1.0333141384095294e-09
仪征市,静安区,3.041491446782537e-10
高邮市,静安区,5.047107104127765e-10
京口区,静安区,1.4874003128432335e-10
润州区,静安区,1.4841926355371832e-09
丹徒区,静安区,9.085324376139383e-10
丹阳市,静安区,1.1155645393094094e-09
扬中市,静安区,2.9407124045479123e-10
句容市,静安区,1.2317504226032408e-09
海陵区,静安区,2.2462183604496913e-10
高港区,静安区,1.3956804851029635e-10
姜堰区,静安区,2.5247070007812124e-10
兴化市,静安区,5.606094438914868e-10
靖江市,静安区,1.2255131483370758e-09
泰兴市,静安区,7.559723722457795e-10
黄浦区,普陀区,1.250648971636794e-07
