OAREA,DAREA,F
邗江区,长宁区,1.0348228109821383e-13
江都区,长宁区,5.94457710490514e-14
宝应县,长宁区,2.2477389420114532e-13
高邮市,长宁区,2.0340492489328813e-13
京口区,长宁区,1.8794006789380664e-13
润州区,长宁区,4.7169736294214225e-14
丹徒区,长宁区,3.455862511363406e-14
丹阳市,长宁区,4.0491634648679605e-14
扬中市,长宁区,2.5469177668407143e-13
句容市,长宁区,7.25412109706808e-14
海陵区,长宁区,1.2194356406425483e-13
高港区,长宁区,1.2520080572652634e-13
姜堰区,长宁区,1.8773271175069415e-13
兴化市,长宁区,1.5980011252482635e-13
靖江市,长宁区,1.3543083187470315e-13
泰兴市,长宁区,2.415657221365555e-13
黄浦区,静安区,5.0232995069978544e-11
徐汇区,静安区,3.237854380477426e-11
长宁区,静安区,4.416314342912443e-11
静安区,静安区,1.2856603231348632e-09
普陀区,静安区,6.781909211898955e-11
虹口区,静安区,8.099098726821606e-11
杨浦区,静安区,3.7703922289442295e-11
闵行区,静安区,2.145428716151511e-11
宝山区,静安区,6.08457226251464e-11
嘉定区,静安区,2.0591791252112605e-11
浦东新区,静安区,2.0637379814349592e-11
金山区,静安区,2.003913145781783e-12
松江区,静安区,9.999149549871299e-12
青浦区,静安区,9.41485469047382e-12
奉贤区,静安区,2.5735645777350242e-12
崇明区,静安区,3.1958211191860603e-12
玄武区,静安区,3.299055080403436e-13
秦淮区,静安区,3.6509852732961256e-13
建邺区,静安区,3.456174765068989e-13
鼓楼区,静安区,2.4123017449313147e-13
浦口区,静安区,1.2634661520741798e-13
栖霞区,静安区,9.629074713787689e-14
雨花台区,静安区,1.1214367671765936e-13
江宁区,静安区,9.916018032407977e-14
六合区,静安区,8.773832371383982e-14
溧水区,静安区,1.0508836767412552e-13
高淳区,静安区,2.929753811030364e-14
锡山区,静安区,8.777416934044097e-14
惠山区,静安区,1.7664400242017606e-13
滨湖区,静安区,3.820076294860456e-13
梁溪区,静安区,3.4853541127903434e-13
新吴区,静安区,1.832297446752624e-13
江阴市,静安区,1.1404901421480258e-13
宜兴市,静安区,1.7873231921673978e-13
天宁区,静安区,3.409342592336254e-13
钟楼区,静安区,2.6064332357538535e-13
新北区,静安区,1.5741062539869948e-13
武进区,静安区,9.029650735395653e-14
金坛区,静安区,1.7277540272005902e-14
溧阳市,静安区,1.810878592781088e-13
虎丘区,静安区,3.4928942068996294e-13
吴中区,静安区,2.295581580497363e-13
相城区,静安区,2.5508587617911927e-13
姑苏区,静安区,7.548033379662667e-13
吴江区,静安区,1.4389925690653798e-13
常熟市,静安区,1.244302206035872e-13
张家港市,静安区,1.2595636311416696e-13
昆山市,静安区,1.0584437193553926e-12
太仓市,静安区,4.642987549209607e-13
崇川区,静安区,2.784960456526223e-13
港闸区,静安区,1.8497716129355782e-13
通州区,静安区,1.589079371719604e-13
如东县,静安区,1.0695434480892651e-13
启东市,静安区,5.75618405077066e-13
如皋市,静安区,1.8557759015357677e-13
海门市,静安区,4.883410048383534e-13
海安市,静安区,2.4489522495521695e-13
广陵区,静安区,1.354914652270432e-13
邗江区,静安区,1.607756854594885e-13
江都区,静安区,1.693233201425892e-13
宝应县,静安区,1.9955480869391884e-13
仪征市,静安区,4.149227304630994e-14
高邮市,静安区,1.4220941638822638e-13
京口区,静安区,1.313972480517054e-13
