count,OAREA,OCITY,OPROV,DAREA,DCITY,DPROV
0.7243726163168615,宝山区,上海市,上海市,长宁区,上海市,上海市
1.3269464731998803,嘉定区,上海市,上海市,长宁区,上海市,上海市
1.0295465748152615,浦东新区,上海市,上海市,长宁区,上海市,上海市
0.2763966570307568,金山区,上海市,上海市,长宁区,上海市,上海市
0.7073156228947854,松江区,上海市,上海市,长宁区,上海市,上海市
1.2246287336500579,青浦区,上海市,上海市,长宁区,上海市,上海市
0.2810581523668299,奉贤区,上海市,上海市,长宁区,上海市,上海市
1.6355870111687947,崇明区,上海市,上海市,长宁区,上海市,上海市
0.0,玄武区,南京市,江苏省,长宁区,上海市,上海市
0.0,秦淮区,南京市,江苏省,长宁区,上海市,上海市
0.0,建邺区,南京市,江苏省,长宁区,上海市,上海市
0.0,鼓楼区,南京市,江苏省,长宁区,上海市,上海市
0.0,浦口区,南京市,江苏省,长宁区,上海市,上海市
0.0,栖霞区,南京市,江苏省,长宁区,上海市,上海市
0.023352994962714944,雨花台区,南京市,江苏省,长宁区,上海市,上海市
0.007823578532572985,江宁区,南京市,江苏省,长宁区,上海市,上海市
0.0,六合区,南京市,江苏省,长宁区,上海市,上海市
0.0,溧水区,南京市,江苏省,长宁区,上海市,上海市
0.01775978240327512,锡山区,无锡市,江苏省,长宁区,上海市,上海市
0.01203813037594776,惠山区,无锡市,江苏省,长宁区,上海市,上海市
0.0,滨湖区,无锡市,江苏省,长宁区,上海市,上海市
0.011407175170539425,梁溪区,无锡市,江苏省,长宁区,上海市,上海市
0.01567909774266919,新吴区,无锡市,江苏省,长宁区,上海市,上海市
0.012056186021715489,江阴市,无锡市,江苏省,长宁区,上海市,上海市
0.01113442658347158,宜兴市,无锡市,江苏省,长宁区,上海市,上海市
0.0,天宁区,常州市,江苏省,长宁区,上海市,上海市
0.0,钟楼区,常州市,江苏省,长宁区,上海市,上海市
0.009893697388327365,新北区,常州市,江苏省,长宁区,上海市,上海市
0.0,武进区,常州市,江苏省,长宁区,上海市,上海市
0.0,金坛区,常州市,江苏省,长宁区,上海市,上海市
0.0,溧阳市,常州市,江苏省,长宁区,上海市,上海市
0.008848165807404943,虎丘区,苏州市,江苏省,长宁区,上海市,上海市
0.009900251156656575,吴中区,苏州市,江苏省,长宁区,上海市,上海市
0.013418120640891209,相城区,苏州市,江苏省,长宁区,上海市,上海市
0.03084248434959987,姑苏区,苏州市,江苏省,长宁区,上海市,上海市
0.03852065230609668,吴江区,苏州市,江苏省,长宁区,上海市,上海市
0.031114120951534267,常熟市,苏州市,江苏省,长宁区,上海市,上海市
0.01616786518958579,张家港市,苏州市,江苏省,长宁区,上海市,上海市
0.2091450133267311,昆山市,苏州市,江苏省,长宁区,上海市,上海市
0.18639951048448508,太仓市,苏州市,江苏省,长宁区,上海市,上海市
0.017824376286619138,崇川区,南通市,江苏省,长宁区,上海市,上海市
0.0,港闸区,南通市,江苏省,长宁区,上海市,上海市
0.0,通州区,南通市,江苏省,长宁区,上海市,上海市
0.020949127402998556,如东县,南通市,江苏省,长宁区,上海市,上海市
0.11609854551452553,启东市,南通市,江苏省,长宁区,上海市,上海市
0.007969357667721104,如皋市,南通市,江苏省,长宁区,上海市,上海市
0.03786984430443748,海门市,南通市,江苏省,长宁区,上海市,上海市
